fid,DN,1
"1","-38221",1
"2","-35240",1
"3","-27780",1
"4","-26926",1
"5","-25009",1
"6","-20667",1
"7","-23396",0.5
"8","-20824",0.5
"9","-12158",0.5
"10","-4041",0.5
"11","7319",1
"12","8585",1
"13","3091",1
"14","20519",1
"15","36400",1
"16","30012",1
"17","16594",1
"18","21010",0.5
"19","28854",0.5
"20","-32796",1
"21","-30247",1
"22","-10920",1
"23","-12841",1
"24","-15792",1
"25","-8220",1
"26","-14737",0.5
"27","-15785",0.5
"28","-4003",0.5
"29","2704",0.5
"30","12019",1
"31","14374",1
"32","11025",1
"33","19994",1
"34","39653",1
"35","52156",1
"36","23308",1
"37","24871",0.5
"38","29447",0.5
"39","-23648",1
"40","-30385",1
"41","-16874",1
"42","-8287",1
"43","-496",1
"44","-2681",1
"45","-17281",0.5
"46","-12467",0.5
"47","-530",0.5
"48","-308",0.5
"49","14749",1
"50","24862",1
"51","18853",1
"52","26004",1
"53","43138",1
"54","34651",1
"55","45842",1
"56","45748",0.5
"57","35812",0.5
"58","-21870",1
"59","-25134",1
"60","-17235",1
"61","-6055",1
"62","3994",1
"63","-1672",1
"64","-10065",0.5
"65","152",0.5
"66","5678",0.5
"67","11140",0.5
"68","12895",1
"69","36172",1
"70","29776",1
"71","36970",1
"72","49899",1
"73","53630",1
"74","61196",1
"75","121907",1
"76","59089",0.5
"77","-25352",1
"78","-17283",1
"79","-12478",1
"80","-18002",1
"81","4956",1
"82","5807",1
"83","-4809",0.5
"84","160",0.5
"85","9196",0.5
"86","12829",0.5
"87","29360",1
"88","40279",1
"89","37785",1
"90","48990",1
"91","60064",1
"92","56044",1
"93","52026",1
"94","104098",1
"95","105721",1
"96","-18000",1
"97","-14958",1
"98","145",1
"99","2930",1
"100","1152",1
"101","18072",1
"102","6967",0.5
"103","-323",0.5
"104","8070",0.5
"105","18929",0.5
"106","36648",1
"107","54703",1
"108","45030",1
"109","50079",1
"110","61962",1
"111","76027",1
"112","71829",1
"113","89399",1
"114","85988",1
"115","-5945",1
"116","-21578",1
"117","-10000",1
"118","4099",1
"119","14986",1
"120","16015",1
"121","19925",0.5
"122","6173",0.5
"123","15681",0.5
"124","18063",0.5
"125","27417",0.5
"126","36245",1
"127","65137",1
"128","63048",1
"129","64015",1
"130","84861",1
"131","78811",1
"132","84000",1
"133","82000",1
"134","1928",1
"135","-3582",1
"136","3206",1
"137","3266",1
"138","20990",1
"139","31047",1
"140","24017",0.5
"141","12365",0.5
"142","23556",0.5
"143","30282",0.5
"144","23800",0.5
"145","38340",0.5
"146","53822",1
"147","67949",1
"148","80014",1
"149","72098",1
"150","90809",1
"151","95533",1
"152","90513",0.5
"153","14395",1
"154","1000",1
"155","2397",1
"156","20045",1
"157","18084",0.5
"158","29898",0.5
"159","46009",0.5
"160","23156",0.5
"161","23033",0.5
"162","28899",0.5
"163","45276",0.5
"164","38140",0.5
"165","53954",1
"166","60214",1
"167","81205",1
"168","89040",1
"169","102063",1
"170","100387",0.5
"171","101727",0.5
"172","16220",1
"173","12814",1
"174","2884",1
"175","3001",1
"176","25008",1
"177","44003",0.5
"178","50825",0.5
"179","36973",0.5
"180","32985",0.5
"181","38410",0.5
"182","46884",0.5
"183","55004",1
"184","70959",1
"185","51685",1
"186","72242",1
"187","88327",1
"188","106317",1
"189","111104",1
"190","144157",0.5
"191","16914",0.5
"192","20721",0.5
"193","11442",1
"194","22111",1
"195","25258",1
"196","36023",1
"197","50315",1
"198","45542",0.5
"199","39635",0.5
"200","56024",0.5
"201","45135",0.5
"202","66532",1
"203","77925",1
"204","63337",1
"205","67053",1
"206","84258",1
"207","101927",1
"208","117952",1
"209","120353",0.5
"210","32411",1
"211","31681",1
"212","21377",1
"213","31412",1
"214","30000",1
"215","44401",1
"216","52665",1
"217","53360",1
"218","49547",0.5
"219","63872",0.5
"220","54120",1
"221","62378",1
"222","90243",1
"223","86857",1
"224","91965",1
"225","94034",1
"226","99773",1
"227","117814",1
"228","126242",0.5
"229","44364",1
"230","35167",1
"231","32297",1
"232","37466",1
"233","49978",1
"234","45039",1
"235","59816",1
"236","60905",1
"237","73026",0.5
"238","68563",0.5
"239","65291",1
"240","85545",1
"241","83456",1
"242","97829",1
"243","88499",1
"244","95880",1
"245","121301",1
"246","130063",1
"247","137066",0.5
