fid,DN,1
"1","-38221",5.1666955947876
"2","-35240",5.1666955947876
"3","-27780",5.16261053085327
"4","-26926",5.16261053085327
"5","-25009",5.16261053085327
"6","-20667",5.14026641845703
"7","-23396",5.14026641845703
"8","-20824",5.14026641845703
"9","-12158",5.07805776596069
"10","-4041",5.07805776596069
"11","7319",5.07805776596069
"12","8585",5.03419923782349
"13","3091",5.03419923782349
"14","20519",5.03419923782349
"15","36400",4.97502374649048
"16","30012",4.97502374649048
"17","16594",4.97502374649048
"18","21010",4.93522930145264
"19","28854",4.93522930145264
"20","-32796",5.1666955947876
"21","-30247",5.1666955947876
"22","-10920",5.16261053085327
"23","-12841",5.16261053085327
"24","-15792",5.16261053085327
"25","-8220",5.14026641845703
"26","-14737",5.14026641845703
"27","-15785",5.14026641845703
"28","-4003",5.07805776596069
"29","2704",5.07805776596069
"30","12019",5.07805776596069
"31","14374",5.03419923782349
"32","11025",5.03419923782349
"33","19994",5.03419923782349
"34","39653",4.97502374649048
"35","52156",4.97502374649048
"36","23308",4.97502374649048
"37","24871",4.93522930145264
"38","29447",4.93522930145264
"39","-23648",5.1666955947876
"40","-30385",5.1666955947876
"41","-16874",5.16261053085327
"42","-8287",5.16261053085327
"43","-496",5.16261053085327
"44","-2681",5.14026641845703
"45","-17281",5.14026641845703
"46","-12467",5.14026641845703
"47","-530",5.07805776596069
"48","-308",5.07805776596069
"49","14749",5.07805776596069
"50","24862",5.03419923782349
"51","18853",5.03419923782349
"52","26004",5.03419923782349
"53","43138",4.97502374649048
"54","34651",4.97502374649048
"55","45842",4.97502374649048
"56","45748",4.93522930145264
"57","35812",4.93522930145264
"58","-21870",5.10459423065186
"59","-25134",5.10459423065186
"60","-17235",5.05614900588989
"61","-6055",5.05614900588989
"62","3994",5.05614900588989
"63","-1672",5.07154417037964
"64","-10065",5.07154417037964
"65","152",5.07154417037964
"66","5678",5.06451988220215
"67","11140",5.06451988220215
"68","12895",5.06451988220215
"69","36172",5.02391147613525
"70","29776",5.02391147613525
"71","36970",5.02391147613525
"72","49899",4.99172592163086
"73","53630",4.99172592163086
"74","61196",4.99172592163086
"75","121907",4.9575080871582
"76","59089",4.9575080871582
"77","-25352",5.10459423065186
"78","-17283",5.10459423065186
"79","-12478",5.05614900588989
"80","-18002",5.05614900588989
"81","4956",5.05614900588989
"82","5807",5.07154417037964
"83","-4809",5.07154417037964
