day,time(IST),non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs,first_quart,median,third_quart,perc_90
01,11.5,676,0,249.814682006836,582.140014648438,332.325332641602,510.419077653151,510.419077653151,47.4990555455356,2256.16027771787,9.30589345600694,345043.29649353,345043.29649353,512.428,519.894,525.98,533.371
01,12.0,676,0,258.044891357422,608.777160644531,350.732269287109,524.817988333617,524.817988333617,67.5681095929472,4565.44943396452,12.8745795866271,354776.960113525,354776.960113525,537.515,549.205,555.27,562.492
01,12.5,676,0,261.900756835938,617.739074707031,355.838317871094,533.496282092213,533.496282092213,77.9294400401703,6072.9976249745,14.6073070527416,360643.486694336,360643.486694336,549.621,563.721,570.031,577.131
01,13.0,676,0,261.473724365234,608.995666503906,347.521942138672,520.868940951556,520.868940951556,77.6846680646115,6034.90765230887,14.9144366186804,352107.404083252,352107.404083252,428.543,560.899,567.849,575.299
01,13.5,676,0,256.75341796875,583.097839355469,326.344421386719,511.797887903699,511.797887903699,70.2868754596177,4940.24486187581,13.7333265964636,345975.3722229,345975.3722229,524.366,544.016,550.698,557.567
01,14.0,676,0,247.629119873047,548.666015625,301.036895751953,496.468523736536,496.468523736536,55.5417030353267,3084.88077606442,11.187356374037,335612.722045898,335612.722045898,504.84,512.249,518.079,524.773
01,14.5,676,0,233.904541015625,504.052124023438,270.147583007812,451.763916850795,451.763916850795,50.550959017384,2555.39945757724,11.1896849508854,305392.407791138,305392.407791138,457.975,464.604,470.376,476.926
01,15.0,676,0,215.32536315918,444.922821044922,229.597457885742,396.581297451222,396.581297451222,38.4219869859305,1476.24908394702,9.68830028870846,268088.957077026,268088.957077026,399.575,405.111,410.476,416.426
01,15.5,676,0,191.616806030273,373.547790527344,181.93098449707,329.540378999428,329.540378999428,29.182491748465,851.617824649229,8.85551319600676,222769.296203613,222769.296203613,330.577,335.442,340.6,345.982
02,11.5,676,0,250.166854858398,583.447326660156,333.280471801758,512.411562157806,512.411562157806,46.7354708295442,2184.20423365918,9.12069014070202,346390.216018677,346390.216018677,513.909,521.238,527.253,534.64
02,12.0,676,0,258.3935546875,610.102355957031,351.708801269531,539.737410596137,539.737410596137,56.0809138611597,3145.06889950281,10.3904070313041,364862.489562988,364862.489562988,544.548,551.287,557.148,565.26
02,12.5,676,0,262.247619628906,619.064880371094,356.817260742188,548.874709631564,548.874709631564,68.3185696165517,4667.42695445162,12.4470245062686,371039.303710938,371039.303710938,558.916,565.779,571.951,578.861
02,13.0,676,0,261.82080078125,610.305236816406,348.484436035156,553.230961906839,553.230961906839,55.6615543835512,3098.20863639303,10.061178461831,373984.130249023,373984.130249023,557.476,564.697,570.541,577.458
02,13.5,676,0,257.102661132812,584.374389648438,327.271728515625,537.283923628768,537.283923628768,50.3196206626716,2532.06422363517,9.36555486767916,363203.932373047,363203.932373047,540.053,547.412,552.631,559.511
02,14.0,676,0,247.982177734375,549.949768066406,301.967590332031,503.533666938014,503.533666938014,49.7960250532355,2479.64411110246,9.88931392731789,340388.758850098,340388.758850098,507.02,513.84,519.456,526.215
02,14.5,676,0,234.262588500977,505.293365478516,271.030776977539,454.842200600889,454.842200600889,49.0261242701923,2403.56086095634,10.7787105517967,307473.327606201,307473.327606201,459.909,466.081,471.584,478.132
02,15.0,676,0,215.688858032227,446.101348876953,230.412490844727,398.179842232247,398.179842232247,37.9912578387822,1443.33567217283,9.54123082318743,269169.573348999,269169.573348999,400.739,406.251,411.555,417.419
02,15.5,676,0,191.985336303711,374.641845703125,182.656509399414,330.537212574976,330.537212574976,29.3109429205725,859.13137489306,8.86766808863432,223443.155700684,223443.155700684,331.618,336.471,341.634,347.056
