day,time(IST),non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs,first_quart,median,third_quart,perc_90
01,11.5,676,0,258.075622558594,583.204345703125,325.128723144531,481.921718619984,481.921718619984,90.0634256592095,8111.42064147196,18.6883931932166,325779.081787109,325779.081787109,507.061,517.582,524.184,530.337
01,12.0,676,0,266.575408935547,611.611511230469,345.036102294922,495.505210786176,495.505210786176,101.754084685641,10353.8937502127,20.5354217212362,334961.522491455,334961.522491455,483.302,546.939,554.051,560.562
01,12.5,676,0,270.557525634766,622.300964355469,351.743438720703,500.45119119678,500.45119119678,110.433442790412,12195.5452865432,22.0667758880384,338305.005249023,338305.005249023,420.475,560.585,568.145,574.643
01,13.0,676,0,270.116485595703,615.127258300781,345.010772705078,483.403286815395,483.403286815395,109.921122527483,12082.6531777019,22.7390101651212,326780.621887207,326780.621887207,416.723,555.495,565.632,572.729
01,13.5,676,0,265.241638183594,590.531127929688,325.289489746094,479.502070139146,479.502070139146,102.597393179742,10526.2250872785,21.396652813192,324143.399414062,324143.399414062,406.849,540.772,549.053,555.432
01,14.0,676,0,255.818466186523,549.543701171875,293.725234985352,465.574188390427,465.574188390427,92.6643882612891,8586.68885183894,19.9032486276025,314728.151351929,314728.151351929,493.044,510.179,516.329,522.242
01,14.5,676,0,241.64421081543,504.275909423828,262.631698608398,427.443276602841,427.443276602841,80.8164382222892,6531.2966869371,18.9069386854293,288951.654983521,288951.654983521,453.962,463.32,468.881,474.04
01,15.0,676,0,222.4560546875,445.134063720703,222.678009033203,376.781809789895,376.781809789895,64.8760075321346,4208.89635330959,17.2184553092708,254704.503417969,254704.503417969,395.986,403.892,409.015,414.517
01,15.5,676,0,197.970016479492,373.742584228516,175.772567749023,313.491185792099,313.491185792099,50.2242061803097,2522.47088644226,16.0209308767033,211920.041595459,211920.041595459,327.123,334.156,339.092,344.742
02,11.5,676,0,258.439208984375,584.512390136719,326.073181152344,483.629339680869,483.629339680869,90.2045053697781,8136.85278900633,18.6515783821761,326933.433624268,326933.433624268,508.914,518.872,525.458,531.629
02,12.0,676,0,266.935333251953,612.940368652344,346.005035400391,509.608892406938,509.608892406938,98.886720994069,9778.58358895885,19.4044339624877,344495.61126709,344495.61126709,539.017,549.156,555.73,562.302
02,12.5,676,0,270.915618896484,623.633483886719,352.717864990234,516.070057750454,516.070057750454,108.281849752843,11724.9589858973,20.9820058588252,348863.359039307,348863.359039307,551.977,563.874,569.839,575.969
02,13.0,676,0,270.474792480469,616.44677734375,345.971984863281,515.221674450756,515.221674450756,107.504884819556,11557.3002600659,20.86575354854,348289.851928711,348289.851928711,551.396,562.302,568.134,574.41
02,13.5,676,0,265.602172851562,591.820983886719,326.218811035156,504.552646659535,504.552646659535,98.9500680075009,9791.11595868906,19.6114456365682,341077.589141846,341077.589141846,535.75,545.283,550.944,556.947
02,14.0,676,0,256.182952880859,550.787109375,294.604156494141,474.245448456713,474.245448456713,91.2311013805231,8323.11385910328,19.2371063712697,320589.923156738,320589.923156738,503.581,512.169,517.935,523.573
02,14.5,676,0,242.013870239258,505.516906738281,263.503036499023,430.552982668905,430.552982668905,80.5464140074657,6487.72480946206,18.7076660131759,291053.81628418,291053.81628418,456.563,464.609,470.067,475.244
02,15.0,676,0,222.831314086914,446.312377929688,223.481063842773,378.178574533858,378.178574533858,65.001272851521,4225.16547231788,17.1879839918593,255648.716384888,255648.716384888,397.216,404.891,410.122,415.668
02,15.5,676,0,198.350479125977,374.836456298828,176.485977172852,314.411060220391,314.411060220391,50.4595969255319,2546.17092188714,16.0489255340323,212541.876708984,212541.876708984,328.127,335.174,340.117,345.782
