fid,DN,1
"1","-38221",5.23872470855713
"2","-35240",5.23872470855713
"3","-27780",5.39087581634521
"4","-26926",5.39087581634521
"5","-25009",5.39087581634521
"6","-20667",5.28485202789307
"7","-23396",5.28485202789307
"8","-20824",5.28485202789307
"9","-12158",5.25439882278442
"10","-4041",5.25439882278442
"11","7319",5.25439882278442
"12","8585",5.25617218017578
"13","3091",5.25617218017578
"14","20519",5.25617218017578
"15","36400",5.25653886795044
"16","30012",5.25653886795044
"17","16594",5.25653886795044
"18","21010",5.35118818283081
"19","28854",5.35118818283081
"20","-32796",5.23872470855713
"21","-30247",5.23872470855713
"22","-10920",5.39087581634521
"23","-12841",5.39087581634521
"24","-15792",5.39087581634521
"25","-8220",5.28485202789307
"26","-14737",5.28485202789307
"27","-15785",5.28485202789307
"28","-4003",5.25439882278442
"29","2704",5.25439882278442
"30","12019",5.25439882278442
"31","14374",5.25617218017578
"32","11025",5.25617218017578
"33","19994",5.25617218017578
"34","39653",5.25653886795044
"35","52156",5.25653886795044
"36","23308",5.25653886795044
"37","24871",5.35118818283081
"38","29447",5.35118818283081
"39","-23648",5.23872470855713
"40","-30385",5.23872470855713
"41","-16874",5.39087581634521
"42","-8287",5.39087581634521
"43","-496",5.39087581634521
"44","-2681",5.28485202789307
"45","-17281",5.28485202789307
"46","-12467",5.28485202789307
"47","-530",5.25439882278442
"48","-308",5.25439882278442
"49","14749",5.25439882278442
"50","24862",5.25617218017578
"51","18853",5.25617218017578
"52","26004",5.25617218017578
"53","43138",5.25653886795044
"54","34651",5.25653886795044
"55","45842",5.25653886795044
"56","45748",5.35118818283081
"57","35812",5.35118818283081
"58","-21870",5.31879329681396
"59","-25134",5.31879329681396
"60","-17235",5.30452823638916
"61","-6055",5.30452823638916
"62","3994",5.30452823638916
"63","-1672",5.26788187026978
"64","-10065",5.26788187026978
"65","152",5.26788187026978
"66","5678",5.30218553543091
"67","11140",5.30218553543091
"68","12895",5.30218553543091
"69","36172",5.28846216201782
"70","29776",5.28846216201782
"71","36970",5.28846216201782
"72","49899",5.27230787277222
"73","53630",5.27230787277222
"74","61196",5.27230787277222
"75","121907",5.32071304321289
"76","59089",5.32071304321289
"77","-25352",5.31879329681396
"78","-17283",5.31879329681396
"79","-12478",5.30452823638916
"80","-18002",5.30452823638916
"81","4956",5.30452823638916
"82","5807",5.26788187026978
"83","-4809",5.26788187026978
"84","160",5.26788187026978
"85","9196",5.30218553543091
"86","12829",5.30218553543091
"87","29360",5.30218553543091
"88","40279",5.28846216201782
"89","37785",5.28846216201782
"90","48990",5.28846216201782
"91","60064",5.27230787277222
"92","56044",5.27230787277222
"93","52026",5.27230787277222
"94","104098",5.32071304321289
"95","105721",5.32071304321289
"96","-18000",5.31879329681396
"97","-14958",5.31879329681396
"98","145",5.30452823638916
"99","2930",5.30452823638916
"100","1152",5.30452823638916
"101","18072",5.26788187026978
"102","6967",5.26788187026978
"103","-323",5.26788187026978
"104","8070",5.30218553543091
"105","18929",5.30218553543091
"106","36648",5.30218553543091
"107","54703",5.28846216201782
"108","45030",5.28846216201782
"109","50079",5.28846216201782
"110","61962",5.27230787277222
"111","76027",5.27230787277222
"112","71829",5.27230787277222
"113","89399",5.32071304321289
"114","85988",5.32071304321289
"115","-5945",5.34826612472534
"116","-21578",5.34826612472534
"117","-10000",5.2882866859436
"118","4099",5.2882866859436
"119","14986",5.2882866859436
"120","16015",5.27020835876465
"121","19925",5.27020835876465
"122","6173",5.27020835876465
"123","15681",5.28434753417969
"124","18063",5.28434753417969
"125","27417",5.28434753417969
"126","36245",5.31520557403564
"127","65137",5.31520557403564
"128","63048",5.31520557403564
"129","64015",5.34293699264526
"130","84861",5.34293699264526
"131","78811",5.34293699264526
"132","84000",5.32743835449219
"133","82000",5.32743835449219
"134","1928",5.34826612472534
"135","-3582",5.34826612472534
"136","3206",5.2882866859436
"137","3266",5.2882866859436
"138","20990",5.2882866859436
"139","31047",5.27020835876465
"140","24017",5.27020835876465
"141","12365",5.27020835876465
"142","23556",5.28434753417969
"143","30282",5.28434753417969
"144","23800",5.28434753417969
"145","38340",5.31520557403564
"146","53822",5.31520557403564
"147","67949",5.31520557403564
"148","80014",5.34293699264526
"149","72098",5.34293699264526
"150","90809",5.34293699264526
"151","95533",5.32743835449219
"152","90513",5.32743835449219
"153","14395",5.3888726234436
"154","1000",5.3888726234436
"155","2397",5.31018781661987
"156","20045",5.31018781661987
"157","18084",5.31018781661987
"158","29898",5.25156593322754
"159","46009",5.25156593322754
"160","23156",5.25156593322754
"161","23033",5.27834892272949
"162","28899",5.27834892272949
"163","45276",5.27834892272949
"164","38140",5.43970823287964
"165","53954",5.43970823287964
"166","60214",5.43970823287964
"167","81205",5.5389232635498
"168","89040",5.5389232635498
"169","102063",5.5389232635498
"170","100387",5.41397666931152
"171","101727",5.41397666931152
"172","16220",5.3888726234436
"173","12814",5.3888726234436
"174","2884",5.31018781661987
"175","3001",5.31018781661987
"176","25008",5.31018781661987
"177","44003",5.25156593322754
"178","50825",5.25156593322754
"179","36973",5.25156593322754
"180","32985",5.27834892272949
"181","38410",5.27834892272949
"182","46884",5.27834892272949
"183","55004",5.43970823287964
"184","70959",5.43970823287964
"185","51685",5.43970823287964
"186","72242",5.5389232635498
"187","88327",5.5389232635498
"188","106317",5.5389232635498
"189","111104",5.41397666931152
"190","144157",5.41397666931152
"191","16914",5.3888726234436
"192","20721",5.3888726234436
"193","11442",5.31018781661987
"194","22111",5.31018781661987
"195","25258",5.31018781661987
"196","36023",5.25156593322754
"197","50315",5.25156593322754
"198","45542",5.25156593322754
"199","39635",5.27834892272949
"200","56024",5.27834892272949
"201","45135",5.27834892272949
"202","66532",5.43970823287964
"203","77925",5.43970823287964
"204","63337",5.43970823287964
"205","67053",5.5389232635498
"206","84258",5.5389232635498
"207","101927",5.5389232635498
"208","117952",5.41397666931152
"209","120353",5.41397666931152
"210","32411",5.42215061187744
"211","31681",5.42215061187744
"212","21377",5.32502841949463
"213","31412",5.32502841949463
"214","30000",5.32502841949463
"215","44401",5.25511789321899
"216","52665",5.25511789321899
"217","53360",5.25511789321899
"218","49547",5.22979354858398
"219","63872",5.22979354858398
"220","54120",5.22979354858398
"221","62378",5.32246255874634
"222","90243",5.32246255874634
"223","86857",5.32246255874634
"224","91965",5.47292804718018
"225","94034",5.47292804718018
"226","99773",5.47292804718018
"227","117814",5.41757345199585
"228","126242",5.41757345199585
"229","44364",5.42215061187744
"230","35167",5.42215061187744
"231","32297",5.32502841949463
"232","37466",5.32502841949463
"233","49978",5.32502841949463
"234","45039",5.25511789321899
"235","59816",5.25511789321899
"236","60905",5.25511789321899
"237","73026",5.22979354858398
"238","68563",5.22979354858398
"239","65291",5.22979354858398
"240","85545",5.32246255874634
"241","83456",5.32246255874634
"242","97829",5.32246255874634
"243","88499",5.47292804718018
"244","95880",5.47292804718018
"245","121301",5.47292804718018
"246","130063",5.41757345199585
"247","137066",5.41757345199585
